Species,Light_ISF,Soil,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Time,Event,Harvest,Alive
0,0.106,0,0,0,0,0,0,22.0,0.0,-0.56,13.86,12.15,14.0,0,0,0
1,0.106,1,0,0,1,1,1,15.82,31.07,5.19,20.52,19.29,115.5,1,0,1
2,0.106,0,0,0,1,0,1,24.45,28.19,3.36,24.74,15.01,63.0,0,0,0
0,0.08,0,0,0,0,0,0,22.23,0.0,-0.71,14.29,12.36,14.0,0,0,0
0,0.06,0,0,0,0,0,0,21.15,0.0,-0.58,10.85,11.2,14.0,0,0,0
3,0.106,2,0,0,0,0,0,35.29,0.0,0.3,10.8,13.79,24.5,0,0,0
1,0.108,3,0,0,1,1,1,24.0,20.0,5.11,18.82,22.51,24.5,1,1,2
2,0.108,4,1,1,1,2,1,4.0,0.0,3.43,25.22,14.81,24.5,1,1,2
2,0.108,5,0,0,1,0,1,28.74,36.18,3.83,26.65,14.65,115.5,1,0,1
0,0.108,3,0,0,0,1,0,14.16,0.0,-0.05,13.3,12.16,24.5,0,0,0
2,0.106,0,0,0,1,0,1,24.45,28.19,3.36,24.74,15.01,115.5,1,0,1
1,0.106,5,0,0,1,0,1,19.68,21.58,5.1,18.16,22.56,73.5,0,0,0
1,0.106,6,0,2,1,1,1,11.14,32.75,5.05,21.93,17.75,73.5,0,0,0
1,0.108,2,0,0,1,0,1,11.45,21.84,4.79,17.83,23.72,59.5,0,0,0
1,0.108,4,1,1,1,2,1,24.0,9.09,3.68,19.77,19.81,24.5,1,1,2
1,0.108,1,0,0,1,1,1,17.54,32.82,5.29,20.84,18.65,115.5,1,0,1
2,0.106,4,1,1,1,2,1,3.0,0.0,3.5,20.44,18.99,24.5,1,1,2
2,0.106,1,0,2,1,1,0,41.0,13.33,3.98,20.17,21.59,24.5,1,1,2
0,0.108,3,0,0,0,1,0,10.0,0.0,-0.1,12.61,11.75,24.5,1,1,2
0,0.108,5,0,2,0,0,0,22.98,0.0,0.44,13.69,12.31,24.5,0,0,0
0,0.108,4,1,1,0,2,1,8.55,0.0,0.08,10.61,11.57,24.5,0,0,0
0,0.108,6,0,0,0,1,0,12.86,0.0,0.04,13.95,12.5,24.5,0,0,0
2,0.108,1,0,2,1,1,1,20.45,26.44,3.89,24.19,16.19,115.5,1,0,1
1,0.106,2,0,0,1,0,1,9.0,26.92,4.77,17.0,25.17,24.5,1,1,2
1,0.108,6,0,2,1,1,1,10.68,26.72,5.04,21.43,18.21,73.5,0,0,0
1,0.108,5,0,0,1,0,1,18.04,25.57,5.09,18.75,23.07,73.5,0,0,0
1,0.108,1,0,0,1,1,1,14.0,38.46,5.47,21.72,18.17,24.5,1,1,2
0,0.108,3,0,0,0,1,0,14.16,0.0,-0.05,13.3,12.16,59.5,0,0,0
1,0.108,1,0,0,1,1,1,5.0,16.22,3.77,25.48,12.91,24.5,1,1,2
2,0.107,5,0,0,1,0,1,19.0,57.14,3.69,24.77,14.86,24.5,1,1,2
1,0.108,3,0,0,1,1,1,20.19,26.04,5.07,18.97,22.48,115.5,1,0,1
2,0.106,6,0,0,1,1,1,19.32,21.6,3.81,20.97,18.09,115.5,1,0,1
1,0.106,2,0,0,1,0,1,12.15,21.66,4.7,17.55,24.42,115.5,1,0,1
1,0.106,2,0,0,1,0,1,12.15,21.66,4.7,17.55,24.42,115.5,1,0,1
1,0.108,3,0,0,1,1,1,18.0,0.0,3.56,25.81,10.7,24.5,1,1,2
0,0.108,2,0,0,0,0,0,16.6,0.0,-0.05,13.1,12.05,24.5,0,0,0
0,0.108,4,1,1,0,2,1,8.55,0.0,0.08,10.61,11.57,66.5,0,0,0
1,0.108,3,0,0,1,1,0,10.0,6.67,4.88,18.33,22.76,24.5,1,1,2
2,0.106,5,0,0,1,0,1,24.0,57.14,3.71,26.64,14.23,24.5,1,1,2
0,0.108,2,0,0,0,0,0,16.6,0.0,-0.05,13.1,12.05,24.5,0,0,0
3,0.108,3,0,0,0,1,0,37.91,0.0,0.77,7.82,11.52,24.5,0,0,0
2,0.106,1,0,2,1,1,1,25.0,8.0,4.13,25.28,15.87,24.5,1,1,2
1,0.106,0,0,0,1,0,1,14.77,27.2,4.16,18.81,24.33,115.5,1,0,1
1,0.1,0,0,0,1,0,1,9.0,24.39,3.91,21.62,17.61,24.5,1,1,2
1,0.098,4,1,1,1,2,1,2.0,10.81,3.72,18.39,23.94,24.5,1,1,2
1,0.1,6,0,2,1,1,0,9.0,31.03,5.21,23.12,17.33,24.5,1,1,2
0,0.107,3,0,0,0,1,0,14.55,0.0,-0.04,13.55,12.15,24.5,0,0,0
0,0.1,3,0,0,0,1,0,14.8,0.0,-0.09,13.74,12.22,24.5,0,0,0
1,0.1,5,0,0,1,0,1,11.0,40.0,5.24,20.56,19.48,24.5,1,1,2
1,0.106,1,0,0,1,1,1,15.82,31.07,5.19,20.52,19.29,70.0,0,0,0
2,0.107,6,0,0,1,1,1,37.0,2.0,3.6,19.67,19.93,24.5,1,1,2
2,0.108,6,0,0,1,1,1,23.71,25.98,3.8,23.21,16.91,63.0,0,0,0
2,0.1,2,0,0,1,0,1,41.0,12.86,3.21,25.22,13.47,24.5,1,1,2
1,0.107,5,0,0,1,0,1,18.0,0.0,5.32,21.53,17.89,24.5,1,1,2
2,0.108,4,1,1,1,2,1,9.71,6.71,3.55,24.69,15.17,115.5,1,0,1
2,0.1,5,0,0,1,0,1,14.0,2.94,3.74,21.23,17.66,24.5,1,1,2
2,0.107,3,0,0,1,1,1,4.0,1.0,3.48,19.52,19.42,24.5,1,1,2
1,0.107,6,0,2,1,1,1,5.0,0.0,4.63,25.57,14.27,24.5,1,1,2
3,0.1,5,0,0,0,0,0,39.43,0.0,0.72,10.15,13.36,24.5,0,0,0
3,0.1,2,0,0,0,0,0,19.17,0.0,0.34,9.62,12.04,24.5,0,0,0
1,0.107,6,0,2,1,1,1,7.0,7.32,5.29,23.0,16.99,24.5,1,1,2
1,0.1,0,0,0,1,0,1,7.0,34.21,4.06,22.12,17.81,24.5,1,1,2
2,0.1,6,0,0,1,1,1,33.0,11.0,3.65,22.8,16.52,24.5,1,1,2
2,0.107,3,0,0,1,1,1,10.0,53.33,3.11,28.17,13.23,24.5,1,1,2
2,0.1,6,0,0,1,1,1,26.0,47.06,3.68,26.52,14.34,24.5,1,1,2
1,0.107,0,0,0,1,0,1,4.0,28.57,3.99,22.14,17.94,24.5,1,1,2
2,0.1,4,1,1,1,2,1,4.0,0.0,3.39,24.93,14.81,24.5,1,1,2
2,0.1,3,0,0,1,1,1,9.0,15.0,2.79,26.79,10.15,24.5,1,1,2
3,0.107,6,0,0,0,1,0,30.83,0.0,0.67,10.36,13.68,24.5,0,0,0
1,0.083,1,0,0,1,1,1,9.0,45.45,4.97,20.8,18.72,24.5,1,1,2
1,0.106,4,1,1,1,2,0,10.3,7.09,3.47,19.59,19.48,115.5,1,0,1
0,0.083,5,0,2,0,0,0,19.63,0.0,0.33,13.73,12.2,24.5,0,0,0
3,0.097,4,1,1,0,2,0,9.0,0.0,0.07,7.91,11.99,24.5,1,1,2
2,0.108,3,0,0,1,1,1,17.7,30.28,3.7,19.54,19.67,115.5,1,0,1
2,0.097,1,0,2,1,1,1,70.0,68.0,3.51,27.77,14.41,24.5,1,1,2
3,0.083,6,0,0,0,1,0,24.39,0.0,0.62,9.43,11.96,24.5,0,0,0
1,0.083,4,1,1,1,2,1,14.0,5.26,3.45,23.58,15.62,24.5,1,1,2
3,0.097,4,1,1,0,2,0,8.3,0.0,0.06,7.76,11.84,24.5,0,0,0
2,0.106,4,1,1,1,2,1,9.66,6.29,3.57,24.36,15.72,59.5,0,0,0
0,0.083,5,0,2,0,0,0,25.0,0.0,0.2,12.86,11.72,24.5,1,1,2
0,0.097,3,0,0,0,1,0,15.31,0.0,-0.06,13.74,12.22,24.5,0,0,0
3,0.083,6,0,0,0,1,0,24.39,0.0,0.62,9.43,11.96,24.5,0,0,0
3,0.097,1,0,0,0,1,0,33.29,0.0,0.57,10.94,13.76,24.5,0,0,0
0,0.083,2,0,0,0,0,0,13.0,0.0,-0.26,10.53,10.83,24.5,1,1,2
3,0.083,5,0,0,0,0,0,14.0,0.0,0.58,2.23,8.68,24.5,1,1,2
0,0.083,3,0,0,0,1,0,13.0,0.0,-0.34,15.22,12.47,24.5,1,1,2
0,0.083,1,0,0,0,1,0,12.0,0.0,0.02,15.52,12.09,24.5,1,1,2
1,0.097,5,0,0,1,0,1,26.0,36.84,4.97,19.2,21.66,24.5,1,1,2
1,0.098,6,0,2,1,1,1,13.63,35.71,5.01,21.98,17.53,115.5,1,0,1
1,0.082,4,1,1,1,2,1,0.0,1.37,2.8,17.67,18.51,24.5,1,1,2
0,0.1,6,0,0,0,1,0,13.21,0.0,-0.04,13.89,12.52,24.5,0,0,0
1,0.1,0,0,0,1,0,1,23.0,0.0,4.15,19.05,23.24,24.5,1,1,2
0,0.1,1,0,0,0,1,0,14.57,0.0,0.22,13.76,12.17,24.5,0,0,0
1,0.1,1,0,0,1,1,1,11.18,41.63,5.24,21.72,17.86,115.5,1,0,1
1,0.082,5,0,0,1,0,1,17.0,12.0,4.8,23.26,16.43,24.5,1,1,2
2,0.107,2,0,0,1,0,1,20.34,28.16,3.54,26.47,14.47,115.5,1,0,1
0,0.082,6,0,0,0,1,0,13.0,0.0,-0.09,13.88,12.32,24.5,1,1,2
2,0.082,4,1,1,1,2,1,0.0,3.9,3.07,24.59,13.11,24.5,1,1,2
1,0.082,2,0,0,1,0,1,42.35,35.71,4.39,19.42,19.28,24.5,1,1,2
1,0.1,6,0,2,1,1,1,9.0,75.0,4.97,23.56,16.63,24.5,1,1,2
2,0.103,5,0,0,1,0,1,30.44,39.07,3.8,26.44,14.81,24.5,0,0,0
1,0.08,4,1,1,1,2,1,0.0,0.0,3.07,20.78,17.11,24.5,1,1,2
1,0.107,4,1,1,1,2,1,11.59,11.88,3.73,21.08,17.84,94.5,0,0,0
1,0.08,1,0,0,1,1,1,1.0,0.0,5.27,24.67,15.59,24.5,1,1,2
1,0.1,5,0,0,1,0,0,23.5,29.23,5.01,18.78,22.58,115.5,1,0,1
1,0.08,3,0,0,1,1,1,17.0,13.89,4.91,19.63,20.24,24.5,1,1,2
0,0.103,5,0,2,0,0,0,21.88,0.0,0.3,10.18,10.38,24.5,1,1,2
